what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1337471086144
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1337471086513
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1337471086710
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1337471086710
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1337471086937
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1337471086966
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1337471087061
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1337471087307
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1337471087478
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1337471087569
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1337471087813
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1337471087846
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1337471087846
os,sysinfo,,,"macosx",1337471087850
arch,sysinfo,,,"x86_64",1337471087850
ws,sysinfo,,,"cocoa",1337471087850
locale,sysinfo,,,"en_US",1337471087850
processors,sysinfo,,,"4",1337471087850
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1337471087850
java.runtime.version,sysinfo,,,"1.6.0_31-b04-415-11M3635",1337471087850
java.specification.name,sysinfo,,,"Java Platform API Specification",1337471087850
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1337471087850
java.specification.version,sysinfo,,,"1.6",1337471087850
java.vendor,sysinfo,,,"Apple Inc.",1337471087850
java.version,sysinfo,,,"1.6.0_31",1337471087850
java.vm.info,sysinfo,,,"mixed mode",1337471087850
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1337471087850
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1337471087850
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1337471087850
java.vm.specification.version,sysinfo,,,"1.0",1337471087850
java.vm.vendor,sysinfo,,,"Apple Inc.",1337471087850
java.vm.version,sysinfo,,,"20.6-b01-415",1337471087850
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1337471088251
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1337471088873
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1337471090485
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1337471097493
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1337471102033
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1337471102776
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1337471102856
started,bundle,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms",1337471104562
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1337471109828
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1337471109864
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1337471109864
started,bundle,com.android.ide.eclipse.traceview,18.0.0.v201203301601-306762,"com.android.ide.eclipse.traceview",1337471112068
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1337471113587
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1337471114513
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1337471114513
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337471130610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337471149068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337471159511
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1337471159517
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337471165903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337471170309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337471170396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337471175602
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337471175815
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1337471176785
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.200.v201103081922,"org.eclipse.wst.xsl.jaxp.debug.ui",1337471176900
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,18.0.0.v201203301601-306762,"overlay.com.android.ide.eclipse.adt.overlay",1337471176939
stopped,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1337471176939
stopped,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1337471177000
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1337471177016
stopped,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1337471177055
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1337471177120
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1337471177167
stopped,bundle,org.eclipse.wst.web.ui,1.1.500.v201111030500,"org.eclipse.wst.web.ui",1337471177167
stopped,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1337471177186
stopped,bundle,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.ui",1337471177220
stopped,bundle,org.eclipse.wst.xsl.exslt.ui,1.0.0.v201006012005,"org.eclipse.wst.xsl.exslt.ui",1337471177236
stopped,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1337471177251
